"","samples","cluster","frac_cluster","max_frac","strain","lat","long","geo","Lineage"
"233","NIC2365","A",1e-05,0.891598,"NIC2365",4.038977036,-52.667358,"South America","LAC"
"234","QG4781","A",1e-05,0.897164,"QG4781",6.9174,158.2615,"Micronesia","Mic2"
"235","QG5503","A",1e-05,0.897324,"QG5503",6.9174,158.2615,"Micronesia","Mic2"
"236","NIC920","A",1e-05,0.899214,"NIC920",4.04232,-52.68144,"South America","LAC"
"237","QG5650","A",1.4e-05,0.899778,"QG5650",6.9181,158.2619,"Micronesia","Mic2"
"238","QG5502","A",1e-05,0.899816,"QG5502",6.9174,158.2615,"Micronesia","Mic2"
"239","NIC1004","A",1e-05,0.899868,"NIC1004",4.03896,-52.66843,"South America","LAC"
"240","QG5576","A",1.4e-05,0.900422,"QG5576",6.9181,158.2619,"Micronesia","Mic2"
"241","NIC354","A",1e-05,0.901722,"NIC354",4.0881,-52.6753,"South America","LAC"
"242","QG850","A",1e-05,0.904059,"QG850",9.159436,-79.844493,"Central America","LAC"
"243","NIC1378","A",1e-05,0.909943,"NIC1378",4.0951,-52.686219,"South America","LAC"
"244","NIC533","A",1e-05,0.913494,"NIC533",16.01855,-61.597903,"Caribbean","LAC"
"245","NIC1363","A",1e-05,0.917468,"NIC1363",4.058048967,-52.67827903,"South America","LAC"
"246","QG942","A",1e-05,0.91799,"QG942",9.144538,-79.854772,"Central America","LAC"
"247","JU2750","A",1e-05,0.92026,"JU2750",16.1761,-61.6951,"Caribbean","LAC"
"248","NIC339","A",1e-05,0.921551,"NIC339",5.41305,-53.65004,"South America","LAC"
"249","NIC1395","A",1e-05,0.92339,"NIC1395",3.632552968,-53.20619199,"South America","LAC"
"250","NIC1359","A",1e-05,0.932667,"NIC1359",4.053170029,-52.67738703,"South America","LAC"
"251","NIC321","A",1e-05,0.934976,"NIC321",5.53515,-53.56151,"South America","LAC"
"252","NIC1411","A",1.7e-05,0.93577,"NIC1411",3.596770959,-53.17791598,"South America","LAC"
"253","QG3812","A",1e-05,0.937315,"QG3812",10.42963,-84.00833,"Central America","LAC"
